#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: alpha in the simple power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the simple power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the simple power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Simple power-law (PL) equation: f = norm*(E/enorm)^{alpha}
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | alpha | alpha_low | alpha_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB171102B   |    785510    | -1.540970e+00 | -2.120280e+00 | -9.721170e-01 | 9.255960e-03 | 6.228510e-03 | 1.222110e-02 | 45.56 | 57 | 0.7993 | 8.619633e-01 | 50.0000 | 1 | 3.500000 | 4.500000 |  
GRB171027A   |    783479    | -1.175800e+00 | -1.274210e+00 | -1.076820e+00 | 2.590030e-02 | 2.437160e-02 | 2.742900e-02 | 41.89 | 57 | 0.7350 | 9.331281e-01 | 50.0000 | 1 | 62.264000 | 63.264000 |  
GRB171020A   |    780845    | -1.307890e+00 | -1.783300e+00 | -8.154310e-01 | 6.113560e-03 | 4.392180e-03 | 7.834380e-03 | 73.82 | 57 | 1.295 | 6.637389e-02 | 50.0000 | 1 | 19.940000 | 20.940000 |  
GRB171027A   |    783479    | -1.175800e+00 | -1.274210e+00 | -1.076820e+00 | 2.590030e-02 | 2.437160e-02 | 2.742900e-02 | 41.89 | 57 | 0.7350 | 9.331281e-01 | 50.0000 | 1 | 62.264000 | 63.264000 |  
GRB171020A   |    780845    | -1.307890e+00 | -1.783300e+00 | -8.154310e-01 | 6.113560e-03 | 4.392180e-03 | 7.834380e-03 | 73.82 | 57 | 1.295 | 6.637389e-02 | 50.0000 | 1 | 19.940000 | 20.940000 |  
GRB171011A   |    778154    | -1.441140e+00 | -1.541090e+00 | -1.341710e+00 | 5.661950e-02 | 5.333830e-02 | 5.988910e-02 | 54.36 | 57 | 0.9537 | 5.746744e-01 | 50.0000 | 1 | 0.048000 | 1.048000 |  
GRB171010B   |    778019    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB171007A   |    777215    | -9.269460e-01 | -1.294850e+00 | -5.298950e-01 | 4.793740e-03 | 3.747990e-03 | 5.830730e-03 | 65.79 | 57 | 1.154 | 1.987962e-01 | 50.0000 | 1 | 0.452000 | 1.452000 |  
GRB171004A   |    776347    | -1.878930e+00 | -2.490640e+00 | -1.334140e+00 | 6.492930e-03 | 4.253810e-03 | 8.535610e-03 | 51.05 | 57 | 0.8956 | 6.967361e-01 | 50.0000 | 1 | 48.340000 | 49.340000 |  
GRB171001A   |    775553    | -1.659990e+00 | -2.013290e+00 | -1.329030e+00 | 7.228880e-03 | 5.639020e-03 | 8.766280e-03 | 54.57 | 57 | 0.9574 | 5.667224e-01 | 50.0000 | 1 | 31.416000 | 32.416000 |  
GRB170921A   |    773509    | -1.659380e+00 | -2.113200e+00 | -1.241680e+00 | 5.981080e-03 | 4.374300e-03 | 7.484110e-03 | 67.29 | 57 | 1.181 | 1.653594e-01 | 50.0000 | 1 | 2.740000 | 3.740000 |  
GRB170912B   |    772052    | -1.857750e+00 | -1.940920e+00 | -1.775700e+00 | 4.057060e-02 | 3.850880e-02 | 4.262130e-02 | 65.55 | 57 | 1.150 | 2.044584e-01 | 50.0000 | 1 | -0.072000 | 0.928000 |  
GRB170912A   |    772006    | -2.253340e+00 | -2.702540e+00 | -1.859850e+00 | 1.189410e-02 | 8.546400e-03 | 1.503870e-02 | 45.50 | 57 | 0.7983 | 8.633860e-01 | 50.0000 | 1 | 2.484000 | 3.484000 |  
GRB170906C   |    770981    | -1.160340e+00 | -1.265720e+00 | -1.053940e+00 | 6.187770e-02 | 5.779440e-02 | 6.595730e-02 | 63.00 | 57 | 1.105 | 2.723710e-01 | 50.0000 | 1 | 6.176000 | 7.176000 |  
